[SCAN]              	playful_bryan (SCAN:07d28ffd932f53936786f398d35fb6620d626e14)	TARGET	(distance-0)
[DNS_NAME]          	kiwi.com	TARGET	(a-record, cdn-cloudflare, distance-0, domain, in-scope, mx-record, ns-record, resolved, soa-record, target, txt-record)
[OPEN_TCP_PORT]     	kiwi.com:443	speculate	(distance-0, in-scope)
[DNS_NAME]          	kiwi.com	sslcert	(a-record, cdn-cloudflare, distance-0, domain, in-scope, mx-record, ns-record, resolved, soa-record, txt-record)
[OPEN_TCP_PORT]     	kiwi.com:80	speculate	(distance-0, in-scope)
[URL]               	http://kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-193-226, status-301)
[DNS_NAME]          	kiwi.com	host	(a-record, cdn-cloudflare, distance-0, domain, in-scope, mx-record, ns-record, resolved, soa-record, txt-record)
[DNS_NAME]          	tmp-spf.kiwi.com	TXT	(distance-0, in-scope, resolved, subdomain, txt-record)
[DNS_NAME]          	design.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	holidays.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	geoip-api-cr.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	cs-messaging-storage.kiwi.com	rapiddns	(a-record, cloud-google, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	holidayvaccine.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	aerolinkuganda.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[URL]               	https://kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-192-226, status-301)
[DNS_NAME]          	covidexm.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	automation-dev.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
